"['Aerox-Esports', 'The Part Time Pop...']",May 31 18,de_mirage
"['Aerox-Esports', 'Last Picks']",Jun 7 18,de_train
"['Aerox-Esports', 'East Coast Gaming']",Jun 9 18,de_train
"['Aerox-Esports', 'LeTrainTiltant']",Jun 17 18,de_inferno
"['Aerox-Esports', 'Team Mutinous']",Jun 18 18,de_dust2
"['Aerox-Esports', 'hitbox-']",Jun 21 18,de_cache
"['Aerox-Esports', 'But What If']",Jun 25 18,de_train
"['Aerox-Esports', 'Lore']",Jul 6 18,de_inferno
"['Aerox-Esports', 'La-Li-Lu-Le-Lo']",Jul 10 18,de_train
"['Aerox-Esports', 'TangoWorldWide']",Jul 12 18,de_cache
"['Aerox-Esports', 'Quixotic Reality']",Jul 13 18,de_overpass
"['Aerox-Esports', 'ExPURE']",Jul 17 18,de_overpass
"['Aerox-Esports', 'Team Alpha Wolves']",Jul 30 18,Multiple
"['Aerox-Esports', 'La-Li-Lu-Le-Lo']",Aug 3 18,Multiple
"['13th Hour Gaming', 'La-Li-Lu-Le-Lo']",May 23 18,de_inferno
"['La-Li-Lu-Le-Lo', 'Mind Bending Perf...']",May 28 18,de_inferno
"['East Coast Gaming', 'La-Li-Lu-Le-Lo']",May 30 18,de_train
"['La-Li-Lu-Le-Lo', 'VIRGIN ESPORTS']",Jun 4 18,de_train
"['Higher Power', 'La-Li-Lu-Le-Lo']",Jun 7 18,de_nuke
"['La-Li-Lu-Le-Lo', 'Lore']",Jun 13 18,de_nuke
"['La-Li-Lu-Le-Lo', 'Team Wisdom']",Jun 18 18,de_train
"['La-Li-Lu-Le-Lo', 'Mobility-Gaming']",Jun 20 18,de_overpass
"['Empire', 'La-Li-Lu-Le-Lo']",Jun 25 18,de_inferno
"['Clam Shack Clapba...', 'La-Li-Lu-Le-Lo']",Jul 9 18,de_overpass
"['Deception Gaming', 'La-Li-Lu-Le-Lo']",Jul 11 18,de_nuke
"['Bloom E-sports', 'La-Li-Lu-Le-Lo']",Jul 16 18,de_inferno
"['La-Li-Lu-Le-Lo', 'Realm Royale']",Jul 30 18,Multiple
"['Bloom E-sports', 'Team Alpha Wolves']",May 24 18,de_mirage
"['BLACKPINK', 'Bloom E-sports']",May 30 18,de_mirage
"['Bloom E-sports', 'Deception Gaming']",May 31 18,de_overpass
"['Bloom E-sports', 'Skeet Skeet Water...']",Jun 1 18,de_mirage
"['Bloom E-sports', 'Poseidon eSports NA']",Jun 6 18,de_inferno
"['Bloom E-sports', 'Lasgana Boys']",Jun 11 18,de_cache
"['Bloom E-sports', 'East Coast Gaming']",Jun 14 18,de_inferno
"['Bloom E-sports', 'Prison Sex']",Jun 18 18,de_dust2
"['Bloom E-sports', 'Five Kings']",Jun 21 18,de_overpass
"['Bloom E-sports', 'HOT BOY SQUAD']",Jun 25 18,de_inferno
"['Bloom E-sports', 'what we do']",Jun 26 18,de_cache
"['Bloom E-sports', 'W E E B B U S T E...']",Jun 29 18,de_cache
"['Bloom E-sports', 'Class Is In Sessi...']",Jul 4 18,de_inferno
"['Bloom E-sports', 'Grain Bin Boyz']",Jul 9 18,de_cache
"['Bloom E-sports', 'hitbox-']",Jul 11 18,de_overpass
"['Bloom E-sports', 'TangoWorldWide']",Jul 30 18,Multiple
"['Five Kings', 'Lore']",May 23 18,de_cache
"['Lore', 'Skeet Skeet Water...']",May 25 18,de_mirage
"['Lore', 'Silent Empire']",May 30 18,de_mirage
"['DamageOverTime', 'Lore']",Jun 4 18,de_train
"['EWOKGODSQUAD', 'Lore']",Jun 6 18,de_inferno
"['Lore', 'survivor']",Jun 11 18,de_inferno
"['Class Is In Sessi...', 'Lore']",Jun 15 18,de_train
"['Lore', 'hitbox-']",Jul 2 18,de_inferno
"['Lore', 'buffet of trash']",Jul 2 18,de_dust2
"['Lore', 'Victims of the Ti...']",Jul 9 18,de_nuke
"['But What If', 'Lore']",Jul 11 18,de_mirage
"['Empire', 'Lore']",Jul 16 18,de_cache
"['Driven to Insanity', 'Lore']",Jul 30 18,Multiple
"['Team Empire', 'Windex_Ninjas']",May 28 18,de_mirage
"['Team Empire', 'Urban Assault']",Jun 5 18,de_overpass
"['SyntheticDreamz', 'Team Empire']",Jun 7 18,de_cache
"['Team Empire', 'Yee Yee Boys']",Jun 11 18,de_mirage
"['Mother Puggers', 'Team Empire']",Jun 12 18,de_nuke
"['Corporate Punishment', 'Team Empire']",Jun 18 18,de_overpass
"['Montes Money Bois', 'Team Empire']",Jun 21 18,de_cache
"['Desert Dynasty', 'Team Empire']",Jun 22 18,de_overpass
"['Probably Panicking', 'Team Empire']",Jun 29 18,de_inferno
"['Night Prowlers CS', 'Team Empire']",Jul 2 18,de_overpass
"['Bad Intentions', 'Team Empire']",Jul 5 18,de_dust2
"['Literature Club', 'Team Empire']",Jul 6 18,de_mirage
"['Broken Alliance', 'Team Empire']",Jul 11 18,de_mirage
"['Hedgehogs', 'Team Empire']",Jul 16 18,de_inferno
"['Higher Power', 'Team Empire']",Jul 30 18,Multiple
